last_name, first_name,year,pitch_hand,n,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Garcia, Deivi,2020,R,532,59.5,91.9,2178,20.4,23.4,78.1,2631,13.7,16.9,80.6,1843,18.4,
Fleming, Josh,2020,L,470,54.2,90.5,1874,19.2,30.2,85.2,1845,6.6,15.5,81.5,1710,13.9,
Fedde, Erick,2020,R,850,72.1,92.3,1875,11.9,18.3,79.5,2273,12.6,9.5,86.7,1576,13.4,
Elledge, Seth,2020,R,231,64.9,93.3,2318,19.9,35.0,83.2,2457,8.2,,,,,
Duffy, Danny,2020,L,943,53.5,92.1,2159,19.3,31.2,79.4,2351,10,15.1,83.8,2161,18.2,
Duffey, Tyler,2020,R,339,46.9,92.6,2296,17.4,53.0,83.5,2443,9.6,,,,,
Colome, Alex,2020,R,366,100.0,90.8,2139,10.4,,,,,,,,,
Cole, Gerrit,2020,R,1203,52.7,96.7,2505,21.7,41.6,86.5,2672,10.1,5.5,88.3,1750,18.9,
Claudio, Alex,2020,L,331,39.2,85.9,1916,17.3,22.6,76.4,2227,7.2,38.0,72.8,2082,19.3,
Castellani, Ryan,2020,R,757,48.2,92.5,2349,16.3,34.6,82.3,2498,8.7,17.1,85.9,1691,14.7,
Carrasco, Carlos,2020,R,1101,38.5,93.6,2457,17.6,33.5,85.5,2830,6.9,27.9,87.7,1382,7.8,
Borucki, Ryan,2020,L,322,47.8,94.8,2168,19.5,37.8,86.6,2315,5.5,14.2,85,2005,17.8,
Barnes, Matt,2020,R,455,54.0,95.5,2315,20.2,43.0,84.6,2170,11.3,2.8,88.4,2224,18.8,
Anderson, Ian,2020,R,571,48.3,94.1,2062,19.2,20.8,80.1,2098,6.7,30.8,87.4,1762,16.2,
Altavilla, Dan,2020,R,363,46.8,97.3,2351,17.7,53.1,90,2608,8.2,,,,,
Winkler, Dan,2020,R,299,88.6,89.7,2482,11,10.7,82,2484,9.8,0.6,89.5,1894,11.4,
Wick, Rowan,2020,R,304,65.7,94.3,2343,17.1,34.2,76.7,2718,19.3,,,,,
Wheeler, Zack,2020,R,1078,65.7,96.8,2289,16.6,25.9,86,2485,10.1,8.2,90.1,1641,16.7,
Weaver, Luke,2020,R,968,65.8,93,2448,18.5,6.9,79,2273,9.9,27.2,84.7,1666,17.3,
Vincent, Nick,2020,R,323,87.9,88.5,2326,16.2,4.0,82.8,2467,6.8,8.0,83.1,1692,16.9,
Treinen, Blake,2020,R,396,73.7,96.6,2303,17.5,26.2,88.4,2588,5,,,,,
Toussaint, Touki,2020,R,491,41.1,93.9,2277,16.5,38.4,78.1,2469,15.3,20.3,85.3,1506,9.3,
Tarpley, Stephen,2020,L,181,68.5,91,2124,14.9,31.4,78.8,2382,13.2,,,,,
Smith, Caleb,2020,L,267,51.3,92.1,2498,21.7,34.0,82.1,2564,6.1,14.6,81.8,1930,19.6,
Scrubb, Andre,2020,R,407,52.5,92.9,2336,16.3,47.4,79.1,2773,20.7,,,,,
Sadler, Casey,2020,R,348,58.3,91.3,2539,15,37.0,80.7,2930,13.5,4.5,86.7,1761,16.5,
Ryan, Kyle,2020,L,268,91.4,86.7,1979,8.7,8.5,78,2244,11.4,,,,,
Ray, Robbie,2020,L,1064,50.9,93.8,2414,19.7,46.2,85.5,2309,5.8,2.8,89.5,2305,18.4,
Raley, Brooks,2020,L,336,67.2,87.9,2506,11.3,29.4,80.8,2876,16.2,3.2,84.4,1957,16.7,
Ponce de Leon, Daniel,2020,R,646,74.4,92.2,2368,18.5,21.6,77.6,2671,18.1,3.8,86.2,1840,18.2,
Plesac, Zach,2020,R,776,37.6,92.8,2086,18.7,37.1,84.5,2137,6.2,25.2,86,1628,15.5,
Phelps, David,2020,R,357,73.3,92.7,2367,16.4,26.6,81.6,2602,12.6,,,,,
Oviedo, Johan,2020,R,444,56.0,94.8,2277,11.7,40.0,82.8,2523,8.8,3.8,87.4,1470,15.2,
Nova, Ivan,2020,R,284,59.1,92.2,2179,17.2,25.3,79.6,2213,7.3,15.4,86.4,2041,16.9,
Newberry, Jake,2020,R,387,45.2,93.4,2403,16.3,51.1,83.3,2590,5.6,3.6,86.8,2014,14.4,
Morton, Charlie,2020,R,660,65.1,92.1,2287,16.7,32.7,78.2,2887,20,2.1,85.9,2036,19.4,
Middleton, Keynan,2020,R,210,59.0,97.1,2489,19.3,22.3,87.4,2372,6.2,18.5,88.2,1906,16.8,
Martinez, Carlos,2020,R,402,51.7,92.8,2106,15.7,28.1,82.7,2199,12.3,20.1,85.7,1860,16.2,
Margevicius, Nick,2020,L,679,64.0,90,2126,18.7,27.5,78.4,1919,10.3,8.3,82.1,1421,13,
Jansen, Kenley,2020,R,446,90.3,91.3,2449,16.9,9.6,81.6,2334,8.5,,,,,
Kickham, Mike,2020,L,262,15.6,89.6,2360,13.1,83.9,82.8,2423,9.8,0.3,82.8,1715,17.5,
Keuchel, Dallas,2020,L,960,65.5,86.1,2149,11.6,6.5,75.8,2280,9.1,27.9,78.6,1705,15.8,
Howard, Spencer,2020,R,439,56.4,94,2345,20.6,27.5,82.1,2335,9.5,15.9,79.6,1539,16.7,
Holland, Greg,2020,R,423,37.1,92.9,2317,17,62.4,84.6,2214,5.9,0.4,84.5,1328,10.9,
Hoffman, Jeff,2020,R,399,54.6,94.4,2425,18.3,18.0,77.7,2541,15.6,27.3,85.3,1409,12.5,
Hirano, Yoshihisa,2020,R,248,45.1,89.9,2117,20.5,0.4,82.8,2519,10.4,54.4,82.1,1154,10.7,
Hendricks, Kyle,2020,R,1162,54.4,87.3,1903,16,16.6,72.1,2810,19.6,28.9,79.7,2064,16.7,
Harris, Will,2020,R,332,77.7,90.5,2415,11.9,22.2,80.8,2568,18.1,,,,,
Hader, Josh,2020,L,372,67.7,94.5,2063,19.8,32.2,80.3,2498,8,,,,,
Garrett, Amir,2020,L,299,44.4,94.7,2207,18.4,55.5,85,1841,4,,,,,
Gallen, Zac,2020,R,1117,64.9,90.8,2367,14.3,16.1,81.2,2432,11.4,18.9,84.9,1530,13.9,
Gallegos, Giovanny,2020,R,229,48.9,93.7,2385,20,50.6,85.4,2407,3.3,0.4,86.8,1865,17.3,
Freeland, Kyle,2020,L,1124,32.2,92,2438,16,42.5,83.6,2460,6.8,25.2,86.1,1412,12.5,
Finnegan, Kyle,2020,R,407,70.7,95,1918,18.5,20.8,87.2,2035,8.4,8.3,86.8,993,10.2,
