last_name, first_name,year,player_age,pitch_hand,n,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Kingham, Nick,2019,28,R,1027,91.3,2280,13.7,80.2,2372,13.9,85.1,2045,17,
Kershaw, Clayton,2019,31,L,2575,90.3,2477,19.3,82.9,2606,11.8,85.2,2210,21.5,
Kelly, Merrill,2019,31,R,2962,91.3,2403,14.8,80.6,2683,15.9,86,2109,18.5,
Keller, Brad,2019,24,R,2711,93.3,2221,14.5,84.9,2510,8.9,87.8,1698,10.3,
Junis, Jakob,2019,27,R,2924,91.5,2026,15.6,81.4,2490,15.3,84.6,1336,7.5,
Hughes, Jared,2019,34,R,1103,91.3,1889,16.3,82.2,2082,5.8,84.6,1551,12,
Hess, David,2019,26,R,1430,92.9,2170,18.3,82.4,2327,7.4,85.5,1595,16.2,
Heaney, Andrew,2019,28,L,1688,92.5,2524,21.6,79.4,2545,8.5,84.7,1988,19.2,
Covey, Dylan,2019,28,R,1018,93.3,2109,15.2,82.1,2435,6.3,85.7,1306,10.7,
Corbin, Patrick,2019,30,L,3299,91.8,2227,18.2,80.5,2363,4.3,81.8,1646,15.1,
Chirinos, Yonny,2019,26,R,1985,93.9,2280,20.6,87.5,2335,7.7,85.9,1294,11,
Chavez, Jesse,2019,36,R,1306,89.9,2220,16.6,86.4,2336,8.8,85.2,2063,18.8,
Cease, Dylan,2019,24,R,1364,96.5,2445,14.8,82.2,2622,12.9,83.1,1626,13.6,
Biagini, Joe,2019,29,R,1142,91.7,2164,14.1,77,2821,19.7,87.1,1564,15.4,
Anderson, Chase,2019,32,R,2300,92.7,2215,17.8,77.8,2171,15.9,82.7,2311,21.3,
Williams, Trevor,2019,27,R,2327,91.3,2144,15.5,82.6,2205,7,83.6,1814,16.8,
Verlander, Justin,2019,36,R,3242,94.6,2577,23,84.5,2690,10.4,86.9,1866,19.5,
Vargas, Jason,2019,36,L,2505,84.2,2220,19.6,70.6,2433,15.5,78.7,2208,20.1,
Tanaka, Masahiro,2019,31,R,2750,91.1,2108,18.3,82.7,2390,8,86.8,1589,14,
Stripling, Ross,2019,30,R,1444,90.4,2270,17.8,82.1,2552,12.8,82.7,1584,11,
Soto, Gregory,2019,24,L,1110,95.4,2343,18,84.9,2326,5.6,88.3,2034,17.5,
Snell, Blake,2019,27,L,1890,95.5,2353,20,82.3,2444,9.4,86.3,1821,17.2,
Senzatela, Antonio,2019,24,R,2237,93.7,2102,12.3,82.4,2164,6.7,87,2059,12.7,
Samardzija, Jeff,2019,34,R,3001,90.8,2559,16.4,83.6,2455,8.4,82.3,1451,13.3,
Robles, Hansel,2019,29,R,1141,97.1,2430,20.9,89.1,2406,5.4,89.5,1588,15.5,
Quantrill, Cal,2019,24,R,1780,94.4,2087,18.8,85.4,2343,4.4,84.6,1429,14.1,
Pomeranz, Drew,2019,31,L,1942,92.2,2419,19.9,81.2,2283,15.7,85.6,1967,18.6,
Pivetta, Nick,2019,26,R,1618,94.5,2332,20.4,81.8,2737,16.1,87.5,1928,17.7,
Pannone, Thomas,2019,25,L,1255,89.7,2219,20.1,73.8,2447,15.1,83.4,1881,18.3,
Ottavino, Adam,2019,34,R,1130,92.5,2460,14.9,81.9,2876,18.7,,,,
Melancon, Mark,2019,34,R,1068,91.8,2348,11.2,82.1,2702,16.3,83.4,1801,15.2,
Lauer, Eric,2019,24,L,2507,90.7,2215,16.6,78.7,2382,7.5,85.9,1982,18.7,
Kikuchi, Yusei,2019,28,L,2629,92.5,2096,16.8,82.1,2333,9.3,84.5,1772,14.8,
Jansen, Kenley,2019,32,R,1049,91.9,2522,16.6,81.8,2387,7.6,,,,
Hoffman, Jeff,2019,26,R,1256,93.7,2453,18.1,77.3,2620,16.7,84.3,1425,11.6,
Hernandez, Elieser,2019,24,R,1442,90.6,2244,19.2,78.5,2245,16.8,82.2,1886,17.7,
Harvey, Matt,2019,30,R,942,93.2,2171,19.3,85.2,2448,6.9,85.7,1774,19,
Hamels, Cole,2019,36,L,2394,90.3,2036,15.2,78,2040,12.4,83.3,1713,16.1,
Hader, Josh,2019,25,L,1139,95.5,2117,19.6,81.9,2618,8.9,86.8,1590,16.3,
