,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
124,KoltenK WongWong,STL,53,181,26,48,4,2,1,16,20,30,5,2,0.265,0.35,0.326,0.6759999999999999
125,J.P.J CrawfordCrawford,SEA,53,204,33,52,7,2,2,24,23,39,6,3,0.255,0.336,0.338,0.674
126,NickN SolakSolak,TEX,58,209,27,56,10,0,2,23,18,42,7,1,0.268,0.326,0.344,0.6709999999999999
127,JoshJ BellBell,PIT,57,195,22,44,3,0,8,22,22,59,0,0,0.226,0.305,0.364,0.669
128,AdamA FrazierFrazier,PIT,58,209,22,48,7,0,7,23,17,35,1,3,0.23,0.297,0.364,0.6609999999999999
129,AvisailA GarcíaGarcia,MIL,53,181,20,43,10,0,2,15,20,49,1,3,0.238,0.333,0.326,0.659
130,YuliY GurrielGurriel,HOU,57,211,27,49,12,1,6,22,12,27,0,1,0.232,0.274,0.384,0.6579999999999999
131,JorgeJ PolancoPolanco,MIN,55,209,22,54,8,0,4,19,13,35,4,2,0.258,0.304,0.354,0.6579999999999999
132,BryanB ReynoldsReynolds,PIT,55,185,24,35,6,2,7,19,21,57,1,1,0.189,0.275,0.35700000000000004,0.632
133,JoseJ AltuveAltuve,HOU,48,192,32,42,9,0,5,18,17,39,2,3,0.219,0.28600000000000003,0.344,0.63
134,ErikE GonzálezGonzalez,PIT,50,181,14,41,13,1,3,20,8,51,2,3,0.227,0.255,0.359,0.614
135,VictorV RoblesRobles,WSH,52,168,20,37,5,1,3,15,9,53,4,1,0.22,0.293,0.315,0.608
136,MarwinM GonzalezGonzalez,MIN,53,175,15,37,4,0,5,22,17,41,0,0,0.211,0.28600000000000003,0.32,0.606
137,EduardoE EscobarEscobar,ARI,54,203,22,43,7,3,4,20,15,41,1,0,0.212,0.27,0.335,0.605
138,JavierJ BáezBaez,CHC,59,222,27,45,9,1,8,24,7,75,3,0,0.203,0.238,0.36,0.599
139,EvanE WhiteWhite,SEA,54,182,19,32,7,0,8,26,18,84,1,2,0.17600000000000002,0.252,0.34600000000000003,0.599
140,JonathanJ VillarVillar,TOR,52,185,13,43,5,0,2,15,19,54,16,5,0.232,0.301,0.292,0.593
141,NickyN LopezLopez,KC,56,169,15,34,8,0,1,13,18,41,0,5,0.201,0.28600000000000003,0.266,0.552
