,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
7,133BryanB ReynoldsReynoldsLF133‌‌‌,PIT,55,185,24,35,6,2,7,19,21,57,1,1,0.18899999999999997,0.275,0.35700000000000004,0.632
8,134JoseJ AltuveAltuve2B134‌‌‌,HOU,48,192,32,42,9,0,5,18,17,39,2,3,0.21899999999999997,0.28600000000000003,0.344,0.63
9,135ErikE GonzálezGonzalezSS135‌‌‌,PIT,50,181,14,41,13,1,3,20,8,51,2,3,0.22699999999999998,0.255,0.359,0.614
10,136VictorV RoblesRoblesCF136‌‌‌,WSH,52,168,20,37,5,1,3,15,9,53,4,1,0.22,0.293,0.315,0.608
11,137MarwinM GonzalezGonzalez3B137‌‌‌,MIN,53,175,15,37,4,0,5,22,17,41,0,0,0.21100000000000002,0.28600000000000003,0.32,0.606
12,138EduardoE EscobarEscobar3B138‌‌‌,ARI,54,203,22,43,7,3,4,20,15,41,1,0,0.212,0.27,0.335,0.605
13,139JavierJ BáezBaezSS139‌‌‌,CHC,59,222,27,45,9,1,8,24,7,75,3,0,0.203,0.23800000000000002,0.36,0.599
14,140EvanE WhiteWhite1B140‌‌‌,SEA,54,182,19,32,7,0,8,26,18,84,1,2,0.17600000000000002,0.252,0.34600000000000003,0.599
15,141JonathanJ VillarVillar2B141‌‌‌,TOR,52,185,13,43,5,0,2,15,19,54,16,5,0.23199999999999998,0.301,0.292,0.593
16,142NickyN LopezLopez2B142‌‌‌,KC,56,169,15,34,8,0,1,13,18,41,0,5,0.201,0.28600000000000003,0.266,0.552
