,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
11,87YasielY PuigPuigRF87‌‌‌,CLE,--,419,59,110,24,2,19,61,30,103,16,6,0.263,0.317,0.465,0.7829999999999999
12,88PaulP DeJongDeJongSS88‌‌‌,STL,--,470,78,111,24,1,27,68,47,116,6,5,0.23600000000000002,0.318,0.46399999999999997,0.782
13,89AdamA FrazierFrazier2B89‌‌‌,PIT,--,411,66,117,25,5,9,39,31,53,5,3,0.285,0.34600000000000003,0.436,0.7809999999999999
14,90EricE HosmerHosmer1B90‌‌‌,SD,--,463,60,128,20,1,21,83,29,130,0,3,0.276,0.321,0.46,0.7809999999999999
15,91CesarC HernandezHernandez2B91‌‌‌,PHI,--,441,63,126,22,3,13,55,33,78,8,1,0.28600000000000003,0.342,0.43799999999999994,0.78
16,92OzzieO AlbiesAlbies2B92‌‌‌,ATL,--,491,73,131,34,7,13,53,48,92,12,4,0.267,0.33399999999999996,0.444,0.778
17,93RyanR McMahonMcMahon2B93‌‌‌,COL,--,328,50,81,17,1,14,55,47,104,4,1,0.247,0.342,0.433,0.775
18,94DexterD FowlerFowlerRF94‌‌‌,STL,--,379,54,93,21,1,15,54,56,115,8,5,0.245,0.35,0.425,0.775
19,95JoseJ AbreuAbreu1B95‌‌‌,CWS,--,470,58,121,27,1,24,92,24,121,2,1,0.257,0.299,0.47200000000000003,0.772
20,96BrandonB BeltBelt1B96‌‌‌,SF,--,393,61,95,25,3,14,45,60,87,4,3,0.242,0.341,0.42700000000000005,0.769
21,97TommyT PhamPhamLF97‌‌‌,TB,--,408,50,101,20,2,18,56,44,88,17,2,0.248,0.326,0.439,0.765
22,98AndrewA BenintendiBenintendiLF98‌‌‌,BOS,--,381,52,101,28,5,8,41,38,97,10,2,0.265,0.336,0.428,0.764
23,99ColinC MoranMoran3B99‌‌‌,PIT,--,389,40,108,26,1,11,69,29,99,0,0,0.278,0.32899999999999996,0.434,0.764
24,100RhysR HoskinsHoskins1B100‌‌‌,PHI,--,432,59,93,24,4,20,58,71,135,1,2,0.215,0.335,0.428,0.764
0,101AlexA GordonGordonLF101‌‌‌,KC,--,403,60,110,23,1,10,54,38,69,3,3,0.273,0.35,0.409,0.76
1,102JasonJ KipnisKipnis2B102‌‌‌,CLE,--,303,35,74,17,1,14,50,31,62,7,2,0.244,0.311,0.446,0.7559999999999999
2,103DomingoD SantanaSantanaLF103‌‌‌,SEA,--,329,42,85,15,1,13,50,30,116,6,1,0.258,0.322,0.429,0.7509999999999999
3,104ChristianC VázquezVazquezC104‌‌‌,BOS,--,324,36,88,16,1,12,44,20,75,2,2,0.272,0.312,0.43799999999999994,0.75
4,105VictorV RoblesRoblesCF105‌‌‌,WSH,--,409,65,105,24,2,14,52,27,108,16,5,0.257,0.319,0.428,0.746
5,106FreddyF GalvisGalvisSS106‌‌‌,CIN,--,377,51,94,15,1,19,51,25,107,2,2,0.249,0.29600000000000004,0.446,0.742
6,107JoseJ IglesiasIglesiasSS107‌‌‌,CIN,--,382,46,112,19,2,8,46,14,56,6,4,0.293,0.32,0.41600000000000004,0.736
